Date,Nitrate
16/01/2015,0.008847306
15/02/2015,0.008676302
16/03/2015,0.0086010145
16/04/2015,0.008802396
16/05/2015,0.009129085
16/06/2015,0.00942816
16/07/2015,0.009655306
16/08/2015,0.009817847
16/09/2015,0.009925821
16/10/2015,0.010031352
16/11/2015,0.010122402
16/12/2015,0.010079202
16/01/2016,0.0097761415
15/02/2016,0.0089077875
16/03/2016,0.008728609
16/04/2016,0.008785286
16/05/2016,0.009014734
16/06/2016,0.009217571
16/07/2016,0.009417386
16/08/2016,0.009581573
16/09/2016,0.0096618645
16/10/2016,0.009736243
16/11/2016,0.009626209
16/12/2016,0.009057743
16/01/2017,0.008606314
15/02/2017,0.008486587
16/03/2017,0.008433147
16/04/2017,0.008559224
16/05/2017,0.0086981645
16/06/2017,0.00892417
16/07/2017,0.009137655
16/08/2017,0.009299633
16/09/2017,0.009444102
16/10/2017,0.009541726
16/11/2017,0.009659726
16/12/2017,0.009225684
16/01/2018,0.008690388
15/02/2018,0.008712045
16/03/2018,0.008637089
16/04/2018,0.008845483
16/05/2018,0.009218468
16/06/2018,0.009503741
16/07/2018,0.009723378
16/08/2018,0.009901208
16/09/2018,0.010033361
16/10/2018,0.01011966
16/11/2018,0.010183365
16/12/2018,0.010193732
16/01/2019,0.009781286
15/02/2019,0.00926355
16/03/2019,0.009109334
16/04/2019,0.00911062
16/05/2019,0.009341124
16/06/2019,0.009583602
16/07/2019,0.009763606
16/08/2019,0.009913112
16/09/2019,0.010035102
16/10/2019,0.0101687405
16/11/2019,0.010288672
16/12/2019,0.009898296
16/01/2020,0.00928549
15/02/2020,0.008982075
16/03/2020,0.008772693
16/04/2020,0.008683487
16/05/2020,0.00882051
16/06/2020,0.009055881
16/07/2020,0.009240224
16/08/2020,0.009399008
16/09/2020,0.009555354
16/10/2020,0.009654525
16/11/2020,0.009743998
16/12/2020,0.0094774235
16/01/2021,0.0088807335
15/02/2021,0.008776175
16/03/2021,0.008781031
16/04/2021,0.0089991335
16/05/2021,0.009228562
16/06/2021,0.009541238
16/07/2021,0.009796397
16/08/2021,0.01000303
16/09/2021,0.010180414
16/10/2021,0.01030502
16/11/2021,0.010351731
16/12/2021,0.010190499
16/01/2022,0.009679631
15/02/2022,0.009262362
16/03/2022,0.00878364
16/04/2022,0.008711134
16/05/2022,0.008926316
16/06/2022,0.009202307
16/07/2022,0.009429859
16/08/2022,0.009628135
16/09/2022,0.009768161
16/10/2022,0.00993127
16/11/2022,0.010054623
16/12/2022,0.009895487
16/01/2023,0.009049874
15/02/2023,0.0087918015
16/03/2023,0.008892754
16/04/2023,0.009169265
16/05/2023,0.009473042
16/06/2023,0.0097349305
16/07/2023,0.009929058
16/08/2023,0.0100431815
16/09/2023,0.010155783
16/10/2023,0.010212561
16/11/2023,0.0102548115
16/12/2023,0.009706803
16/01/2024,0.009071408
15/02/2024,0.008871291
16/03/2024,0.008909553
16/04/2024,0.008975036
16/05/2024,0.0091883745
16/06/2024,0.009481478
16/07/2024,0.00970231
16/08/2024,0.009828782
16/09/2024,0.0099073695
16/10/2024,0.009951946
16/11/2024,0.010030424
16/12/2024,0.009569931
16/01/2025,0.008994882
15/02/2025,0.008842606
16/03/2025,0.008904858
16/04/2025,0.009017256
16/05/2025,0.00942814
16/06/2025,0.009732514
16/07/2025,0.009933225
16/08/2025,0.0100353435
16/09/2025,0.010133092
16/10/2025,0.0102131795
16/11/2025,0.010308794
16/12/2025,0.01007181
16/01/2026,0.009433228
15/02/2026,0.008883313
16/03/2026,0.0087294625
16/04/2026,0.008989774
16/05/2026,0.009243651
16/06/2026,0.009435663
16/07/2026,0.009581155
16/08/2026,0.00967253
16/09/2026,0.009731653
16/10/2026,0.00979083
16/11/2026,0.009832971
16/12/2026,0.009601208
16/01/2027,0.008784749
15/02/2027,0.00854527
16/03/2027,0.008531384
16/04/2027,0.008819438
16/05/2027,0.009177169
16/06/2027,0.009463233
16/07/2027,0.00967141
16/08/2027,0.009804872
16/09/2027,0.009890667
16/10/2027,0.009982732
16/11/2027,0.010055051
16/12/2027,0.00940416
16/01/2028,0.008998759
15/02/2028,0.0089359665
16/03/2028,0.008950051
16/04/2028,0.008981763
16/05/2028,0.009180974
16/06/2028,0.009464731
16/07/2028,0.009696926
16/08/2028,0.009855185
16/09/2028,0.009917124
16/10/2028,0.009995807
16/11/2028,0.010055236
16/12/2028,0.009934257
16/01/2029,0.009503934
15/02/2029,0.009215485
16/03/2029,0.008981063
16/04/2029,0.008969538
16/05/2029,0.009137617
16/06/2029,0.009337437
16/07/2029,0.009498891
16/08/2029,0.009620131
16/09/2029,0.009716053
16/10/2029,0.009781964
16/11/2029,0.009659723
16/12/2029,0.009442933
16/01/2030,0.008785719
15/02/2030,0.008430895
16/03/2030,0.008432433
16/04/2030,0.008633252
16/05/2030,0.0089169545
16/06/2030,0.009187576
16/07/2030,0.009395448
16/08/2030,0.009517276
16/09/2030,0.009626854
16/10/2030,0.009723021
16/11/2030,0.0097361095
16/12/2030,0.009478018
16/01/2031,0.008865561
15/02/2031,0.008595062
16/03/2031,0.008545862
16/04/2031,0.008635069
16/05/2031,0.008776177
16/06/2031,0.009055012
16/07/2031,0.009278006
16/08/2031,0.0094608655
16/09/2031,0.009631488
16/10/2031,0.009786065
16/11/2031,0.009888398
16/12/2031,0.0097827045
16/01/2032,0.0092114275
15/02/2032,0.0084618805
16/03/2032,0.008464563
16/04/2032,0.008483572
16/05/2032,0.008785117
16/06/2032,0.009067308
16/07/2032,0.009302145
16/08/2032,0.009481756
