Date,Temperature
16/01/2015,13.884801
15/02/2015,13.6087475
16/03/2015,13.475088
16/04/2015,13.445682
16/05/2015,13.439458
16/06/2015,13.448988
16/07/2015,13.448494
16/08/2015,13.453196
16/09/2015,13.473567
16/10/2015,13.496671
16/11/2015,13.546162
16/12/2015,13.620051
16/01/2016,13.489128
15/02/2016,13.208596
16/03/2016,12.944968
16/04/2016,12.915705
16/05/2016,12.946663
16/06/2016,12.993116
16/07/2016,13.054469
16/08/2016,13.112596
16/09/2016,13.173966
16/10/2016,13.240641
16/11/2016,13.320793
16/12/2016,13.395836
16/01/2017,13.32748
15/02/2017,13.117921
16/03/2017,12.958105
16/04/2017,12.929404
16/05/2017,12.9553585
16/06/2017,12.981615
16/07/2017,13.013248
16/08/2017,13.044137
16/09/2017,13.078618
16/10/2017,13.133884
16/11/2017,13.2150345
16/12/2017,13.264375
16/01/2018,13.096326
15/02/2018,12.884213
16/03/2018,12.795815
16/04/2018,12.748746
16/05/2018,12.76896
16/06/2018,12.785893
16/07/2018,12.807804
16/08/2018,12.847861
16/09/2018,12.906025
16/10/2018,12.979805
16/11/2018,13.065627
16/12/2018,13.17281
16/01/2019,13.253365
15/02/2019,13.179208
16/03/2019,12.981018
16/04/2019,12.902901
16/05/2019,12.893291
16/06/2019,12.933335
16/07/2019,12.981113
16/08/2019,13.037945
16/09/2019,13.107281
16/10/2019,13.179739
16/11/2019,13.257721
16/12/2019,13.385853
16/01/2020,13.4031515
15/02/2020,13.225137
16/03/2020,13.138882
16/04/2020,13.145635
16/05/2020,13.137365
16/06/2020,13.154423
16/07/2020,13.186032
16/08/2020,13.236031
16/09/2020,13.29464
16/10/2020,13.348096
16/11/2020,13.426914
16/12/2020,13.5363035
16/01/2021,13.525398
15/02/2021,13.2487135
16/03/2021,13.080889
16/04/2021,12.948957
16/05/2021,12.892769
16/06/2021,12.899575
16/07/2021,12.921262
16/08/2021,12.959182
16/09/2021,13.013125
16/10/2021,13.089474
16/11/2021,13.20159
16/12/2021,13.285027
16/01/2022,13.282431
15/02/2022,13.176135
16/03/2022,13.138458
16/04/2022,13.156146
16/05/2022,13.158928
16/06/2022,13.187104
16/07/2022,13.232809
16/08/2022,13.290347
16/09/2022,13.349766
16/10/2022,13.401163
16/11/2022,13.480071
16/12/2022,13.562453
16/01/2023,13.500763
15/02/2023,13.42302
16/03/2023,13.362753
16/04/2023,13.337351
16/05/2023,13.309182
16/06/2023,13.31699
16/07/2023,13.333933
16/08/2023,13.364655
16/09/2023,13.394437
16/10/2023,13.432842
16/11/2023,13.501998
16/12/2023,13.59213
16/01/2024,13.599033
15/02/2024,13.561824
16/03/2024,13.495962
16/04/2024,13.512695
16/05/2024,13.524253
16/06/2024,13.571364
16/07/2024,13.610577
16/08/2024,13.6459875
16/09/2024,13.689779
16/10/2024,13.729915
16/11/2024,13.774367
16/12/2024,13.746935
16/01/2025,13.549751
15/02/2025,13.2758255
16/03/2025,13.084826
16/04/2025,13.07305
16/05/2025,13.053088
16/06/2025,13.04448
16/07/2025,13.04782
16/08/2025,13.066425
16/09/2025,13.104945
16/10/2025,13.157721
16/11/2025,13.220072
16/12/2025,13.313308
16/01/2026,13.277085
15/02/2026,13.118379
16/03/2026,13.012188
16/04/2026,13.016018
16/05/2026,13.044973
16/06/2026,13.081119
16/07/2026,13.112735
16/08/2026,13.155159
16/09/2026,13.201541
16/10/2026,13.251918
16/11/2026,13.312442
16/12/2026,13.381042
16/01/2027,13.315059
15/02/2027,13.133488
16/03/2027,12.989249
